birth,car,city,class,class_10_after,class_10_before,class_14,county,daughter,depression,edu,equity,f_birth,f_edu,f_political,f_work_14,family_income,family_m,family_status,floor_area,gender,happiness,health,health_problem,height_cm,house,hukou,hukou_loc,inc_ability,inc_exp,income,insur_1,insur_2,insur_3,insur_4,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,invest_other,join_party,learn,leisure_1,leisure_10,leisure_11,leisure_12,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,m_birth,m_edu,m_political,m_work_14,marital,marital_1st,marital_now,media_1,media_2,media_3,media_4,media_5,media_6,minor_child,nationality,neighbor_familiarity,political,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,property_other,province,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,relax,religion,religion_freq,s_birth,s_edu,s_hukou,s_income,s_political,s_work_exper,s_work_status,s_work_type,socia_outing,social_friend,social_neighbor,socialize,son,status_3_before,status_peer,survey_type,trust_1,trust_10,trust_11,trust_12,trust_13,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,view,weight_jin,work_exper,work_manage,work_status,work_type,work_yr,age
1959,2,32,3,3,3,1,59,0,5,11,3,-2,4,4,1,60000.0,2,2,45.0,1,4.0,3,2,176,1,5,2.0,3,50000.0,20000,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,3,1,5,4,1,4,3,1,2,3,4,1,4,-2,4,1,1,3,1984.0,1984.0,4,2,5,5,4,3,0.0,1,4,1,0,1,0,0,0,0,0,0,0,0,12,50,60.0,50,50,30.0,30,50,50,50,4,1,1,1958.0,6.0,5.0,40000.0,1.0,5.0,0.0,0.0,2,3.0,3.0,2,1,2,3,1,4,3,-8,4,1,2,-8,-8,5,3,2,3,4,4,155,1,2.0,3.0,1.0,30.0,56
1992,2,52,6,8,4,5,85,0,3,12,3,1972,3,1,2,40000.0,3,4,110.0,1,4.0,5,4,170,1,1,1.0,2,50000.0,20000,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3,2,4,5,1,3,4,3,5,4,3,2,3,1973,3,1,2,1,0.0,0.0,2,2,1,3,5,1,0.0,1,3,1,0,0,0,0,1,0,0,0,0,0,18,90,70.0,70,80,85.0,70,90,60,60,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,6.0,2,0,1,1,2,5,3,3,3,2,4,4,3,5,3,3,3,2,4,110,1,3.0,3.0,1.0,2.0,23
1967,2,83,5,6,4,3,126,2,5,4,4,-2,1,1,2,8000.0,3,3,120.0,2,4.0,4,4,160,1,1,1.0,2,80000.0,2000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,5,4,4,3,5,4,4,2,3,-2,1,1,2,3,1990.0,1990.0,2,2,2,5,1,3,1.0,1,4,1,0,1,1,0,0,0,0,0,0,0,29,90,80.0,75,79,80.0,90,90,90,75,4,0,3,1968.0,3.0,1.0,6000.0,1.0,3.0,0.0,0.0,2,5.0,2.0,3,0,1,2,2,3,3,-8,3,1,3,3,3,4,3,3,3,3,4,122,2,0.0,0.0,0.0,0.0,48
1943,1,28,5,7,5,2,51,4,4,3,4,-2,14,1,2,12000.0,3,3,78.0,2,5.0,4,4,163,1,1,2.0,2,10000.0,6420,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,4,1,5,5,5,5,2,4,5,4,5,1,1,-2,1,1,2,7,1960.0,0.0,2,1,1,5,1,1,0.0,1,3,1,0,0,0,1,0,0,0,0,0,0,10,100,90.0,70,80,80.0,90,90,80,80,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,1.0,2,1,1,2,2,3,3,3,3,2,3,4,3,5,3,3,5,4,3,170,4,0.0,0.0,0.0,0.0,72
1994,1,18,1,1,1,4,36,0,3,12,2,1970,6,1,10,-2.0,4,3,70.0,2,4.0,5,5,165,1,2,3.0,-8,200000.0,-1,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,4,3,5,5,1,3,3,2,4,4,3,5,2,1972,4,1,15,1,0.0,0.0,1,3,4,2,5,5,0.0,1,2,2,0,0,0,0,1,0,0,0,0,0,7,50,50.0,50,50,50.0,50,50,50,50,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.0,7.0,4,0,2,3,1,4,3,3,3,2,3,3,3,5,5,3,4,3,3,110,6,0.0,0.0,0.0,0.0,21
1946,2,52,8,8,1,1,86,1,4,2,4,-2,2,1,2,5000.0,2,3,300.0,1,5.0,5,5,172,1,1,1.0,3,10000.0,5000,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,3,5,5,4,5,5,4,4,4,3,1917,1,1,2,3,1988.0,1988.0,1,1,4,4,1,1,0.0,1,4,1,0,1,1,0,0,0,0,0,0,0,18,90,90.0,90,90,90.0,90,80,90,90,3,1,1,1949.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,1,4.0,3.0,3,2,1,3,2,4,3,3,3,3,3,4,3,5,4,3,3,4,4,140,4,0.0,0.0,0.0,0.0,69
1963,2,27,2,3,2,2,49,0,2,4,4,1920,3,1,1,-3.0,3,2,89.0,1,4.0,2,2,160,1,2,2.0,3,50000.0,-3,1,1,2,2,0,1,0,0,0,0,0,0,0,0,1,1,1,4,4,5,5,5,5,5,4,4,4,4,1905,1,1,15,3,1987.0,1987.0,2,2,2,5,1,2,0.0,1,4,4,0,1,0,0,0,0,0,0,0,0,10,80,80.0,50,70,60.0,50,60,80,80,3,1,1,1963.0,4.0,2.0,-3.0,1.0,1.0,3.0,1.0,1,3.0,2.0,1,1,2,3,1,4,3,3,3,3,3,4,4,4,3,3,3,4,4,120,1,3.0,3.0,1.0,30.0,52
1959,2,31,2,2,1,1,54,0,5,4,4,-2,1,1,2,-1.0,2,3,130.0,1,4.0,3,5,176,1,2,1.0,-8,-2.0,-1,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,3,1,4,5,5,5,5,3,5,4,4,5,4,-2,1,1,-8,3,1979.0,1979.0,3,1,3,4,1,1,0.0,1,4,1,0,0,1,0,0,0,0,0,0,0,11,70,70.0,70,70,70.0,70,80,70,70,3,0,8,1959.0,4.0,2.0,-1.0,1.0,4.0,0.0,0.0,1,3.0,4.0,3,1,2,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,140,5,0.0,0.0,0.0,0.0,56
1952,2,81,3,5,3,2,122,0,2,3,4,1924,1,1,2,1600.0,1,2,36.0,1,4.0,2,2,175,1,1,1.0,3,5000.0,1600,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,2,5,5,5,5,4,5,5,4,4,5,4,1926,1,1,2,1,0.0,0.0,1,1,1,3,1,1,0.0,1,5,1,0,1,0,0,0,0,0,0,0,0,28,82,70.0,60,82,84.0,85,86,87,85,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,5.0,2,0,2,3,2,3,4,4,4,2,2,2,4,5,5,5,2,4,3,95,2,0.0,0.0,0.0,0.0,63
1985,1,70,5,6,5,3,110,2,4,3,4,1952,14,1,2,60000.0,5,3,80.0,1,4.0,4,5,172,1,1,1.0,2,120000.0,60000,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,2,1,5,5,1,5,3,5,5,3,4,5,5,1962,1,1,2,3,2011.0,2011.0,1,1,1,4,4,1,2.0,1,5,1,0,0,0,0,1,0,0,0,0,0,24,60,60.0,60,60,60.0,60,60,60,60,3,1,1,1991.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,6,5.0,5.0,3,0,2,2,2,4,3,-8,3,2,3,4,3,3,3,3,4,3,3,140,5,0.0,0.0,0.0,0.0,30
